id,term_ko,term_en,abbreviation,definition,subject,topic_id,frequency,is_starred,is_hidden,mastery_level,related_keywords,source,created_at,updated_at
1,프로젝트 관리 지식 체계,Project Management Body of Knowledge,PMBOK,"미국 프로젝트관리협회(PMI)에서 제정한 프로젝트 관리 표준 가이드로, 통합, 범위, 일정, 원가, 품질, 자원, 의사소통, 리스크, 조달, 이해관계자 관리 등 10대 지식 영역을 정의합니다. 프로젝트의 착수, 계획, 실행, 감시 및 통제, 종료 등 5개 프로세스 그룹을 체계화합니다. 감리 시에는 프로젝트 관리 계획서가 PMBOK 등의 표준 절차에 맞게 수립되고 작동하는지 점검합니다.",PM,2,1,false,false,0,"[""PMI"", ""10대지식영역"", ""프로세스그룹""]","[""PMBOK 표준 가이드""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
2,작업 분할 구조,Work Breakdown Structure,WBS,"프로젝트의 전체 범위를 하위 인도물 단위로 세분화하여 계층 구조로 나타낸 작업 분할도입니다. WBS의 최하위 단위를 워크 패키지(Work Package)라고 하며, 일정 and 원가 산정의 기본 단위가 됩니다. 감리 시에는 요구사항 정의서와의 추적성 일치 여부 및 누락되거나 중복된 작업 범위가 없는지 집중 확인합니다.",PM,4,1,false,false,0,"[""워크패키지"", ""100%룰"", ""인도물"", ""추적성""]","[""기출 빈출""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
3,임계 경로법,Critical Path Method,CPM,프로젝트의 각 활동들의 시작/종료 일정을 계산하여 여유 시간(Float)이 0인 가장 긴 경로를 찾아 전체 최단 기간을 도출하는 일정 계획 기법입니다. 임계 경로 상의 활동 지연은 전체 프로젝트 지연으로 이어집니다. 감리 시에는 임계 경로 설정의 타당성 및 여유 시간이 부족한 위험 활동에 대한 통제 방안이 적정한지 점검합니다.,PM,6,1,false,false,0,"[""주공정"", ""여유시간"", ""Fast Tracking"", ""Crashing""]","[""기출 핵심 계산""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
4,획득가치관리,Earned Value Management,EVM,"범위, 일정, 원가를 통합하여 현재까지 완성된 실제 성과를 계획가치(PV), 실제원가(AC), 획득가치(EV)를 비교해 정량적으로 측정하는 프로젝트 성과 평가 기법입니다. CPI(비용수행지수) and SPI(일정수행지수)를 도출하여 미래 시점의 최종 예상원가(EAC)를 예측합니다. 감리 시에는 성과측정 기준선 설정의 정밀성과 지수 이상치에 대한 통제 방안의 적정성을 점검합니다.",PM,8,1,false,false,0,"[""PV"", ""AC"", ""EV"", ""CPI"", ""SPI"", ""EAC""]","[""기출 핵심 계산""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
5,의무감리 대상 기준,Mandatory Audit Criteria,의무감리,"전자정부법에 따라 공공기관에서 시행하는 정보화 사업 중 반드시 외부 감리법인에 위탁하여 감리를 수행해야 하는 기준입니다. 기본적으로 사업비 5억 원 이상(단, 하드웨어/소프트웨어 단순 구매 사업은 제외)이거나 대국민 서비스를 제공하는 사업, 여러 기관이 공동으로 이용하는 사업이 대상입니다. 감리 시에는 감리 발주 및 감리 계약이 법적 적격 시기에 맞추어 이루어졌는지 점검합니다.",PM,10,1,false,false,0,"[""5억이상"", ""대국민서비스"", ""공동사용""]","[""전자정부법 고시""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
6,과업심의위원회,Task Review Committee,과업심의,"소프트웨어 진흥법에 의거하여 공공 소프트웨어 사업의 과업 내용을 확정하고, 계약 변경 시 과업 금액 조정 등을 심의하기 위해 발주기관 내에 의무적으로 설치해야 하는 위원회입니다. 계약 당사자의 요청이 있을 시 14일 이내에 개최되어야 합니다. 감리 시에는 과업 변경 발생 시 공식 과업심의위원회 개최 여부 및 그에 따른 계약 변경 증적을 점검합니다.",PM,11,1,false,false,0,"[""14일이내"", ""과업변경"", ""소프트웨어진흥법""]","[""소프트웨어 진흥법""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
7,소프트웨어 분리발주,Software Split Ordering,분리발주,공공기관이 정보화 사업을 발주할 때 상용 소프트웨어를 통합 발주하지 않고 별도로 직접 구매하여 발주하도록 강제하는 제도입니다. 대상 기준은 총 사업비 7억 원 이상(지자체는 5억 원 이상)이거나 개별 상용 소프트웨어 단품 가격이 5천만 원 이상인 경우입니다. 감리 시에는 분리발주 대상 상용 SW의 누락 여부 및 직접 구매 계획의 적정성을 점검합니다.,PM,12,1,false,false,0,"[""7억이상"", ""5천만원이상"", ""상용소프트웨어""]","[""소프트웨어 진흥법""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
8,소프트웨어 하도급 제한,Software Subcontract Restriction,하도급제한,공공 소프트웨어 사업 시 무분별한 다단계 하도급으로 인한 품질 저하를 방지하기 위해 전체 사업 금액의 50%를 초과하는 하도급과 재하도급을 원천 금지하는 규정입니다. 예외적인 경우에만 발주고객의 사전 승인을 득한 후 시행할 수 있습니다. 감리 시에는 적정성 판단 기준에 따른 하도급 사전 승인 여부와 실제 현장 투입 인력의 재하도급 위반 조항을 점검합니다.,PM,13,1,false,false,0,"[""50%초과금지"", ""재하도급원천금지"", ""적정성판단""]","[""소프트웨어 진흥법""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
9,사전협의 지침,Prior Consultation Guideline,사전협의,중앙행정기관 및 공공기관이 전자정부사업을 추진하기 전에 국가 정보화 예산의 중복 투자를 방지하고 표준 준수성을 검증받기 위해 행정안전부 장관 등과 사전에 협의하도록 강제하는 제도입니다. 정보기술아키텍처(EA) 정합성 등을 심사합니다. 감리 시에는 사업 추진 전에 법적 사전협의를 거쳐 결과 통보를 득했는지 및 통보 의견이 설계에 수용되었는지 점검합니다.,PM,14,1,false,false,0,"[""중복투자방지"", ""행안부협의"", ""EA정합성""]","[""전자정부사업 사전협의 지침""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
10,정보기술 거버넌스,IT Governance,IT Governance,"기업이나 조직의 비즈니스 전략과 IT 목표를 유기적으로 연계하고, IT 자원 배분과 리스크 통제를 통해 IT 가치를 극대화하기 위해 이사회와 경영진이 실행하는 통제 및 리더십 프레임워크입니다. 의사결정 체계, 책임 추적성 수립 등이 포함됩니다. 감리 시에는 정보시스템 투자의 의사결정 구조 적정성 및 전사적 보안 거버넌스 정책의 수립 준수 상태를 점검합니다.",PM,15,1,false,false,0,"[""의사결정"", ""비즈니스연계"", ""통제구조""]","[""ITGI 프레임워크""]",2026-07-11 15:26:18.909733,2026-07-11 15:26:18.909733
