id,subject,dashboard_type,concept,category,count,core_concept,features,scope,rep_question,rep_year,rep_num,global_idx,years,questions
1,DB,frequent,SQL 쿼리 구문 (DDL/DML/DCL),DB언어,92,"표준 SQL 선언문 활용 및 하위 질의, 집계, 뷰, 권한 제어 연산","Having 조건절 및 Group By 그룹 연산의 우선순위, EXISTS와 IN 연산자의 동작 효율, 그리고 Outer Join 수행 시 널(NULL) 값 분포 문제를 해석하는 쿼리 분석이 출제됩니다.",DB언어 -> 표준 SQL,"70. 다음은 데이터베이스 보안을 위한 접근제어
(access control) 모델 및 정책에 대한 설명이다. 
<보기> 중 옳은 것을 모두 고른 것은?
<보기>
가. 강제적 접근제어(MAC) 기반의 레이블 보안
(label-based security)은 객체의 보안 등급과 
사용자의 허가 등급을 비교하여 통제하며, 관
리자나 소유자가 임의로 접근 권한을 변경할 
수 없는 중앙 집중적 정책을 따른다.
나. 역할기반 접근제어(RBAC)는 권한을 개별 사용
자에게 직접 할당하지 않고 객체 소유자가 자
신의 판단에 따라 다른 사용자에게 자유롭게 
권한을 위임(grant)하는 것을 원칙으로 한다.
다. 행 수준 보안(row level security, RLS)은 
WHERE 절 등 특정 조건에 따라 사용자별로 
조회 가능한 레코드를 제한하는 미세 단위 접
근제어(FGAC) 기법으로, 더 미세한 크기의 데
이터 보안을 제공한다.
라. 임의적 접근제어(DAC)는 데이터 객체의 소유자가 
접근 통제권한을 가지며, SQL의 GRANT와 
REVOKE 문을 통해 구현된다. 이는 사용자 신
분(identity)에 기반하여 유연한 권한 관리가 가
능하다는 장점이 있다.
  ① (가), (나)
② (다), (라)
  ③ (가), (다), (라)
④ (나), (다), (라)",2026,70,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 70}, {""year"": 2026, ""num"": 67}, {""year"": 2026, ""num"": 61}, {""year"": 2026, ""num"": 60}, {""year"": 2026, ""num"": 59}, {""year"": 2026, ""num"": 58}, {""year"": 2026, ""num"": 57}, {""year"": 2026, ""num"": 55}, {""year"": 2026, ""num"": 52}, {""year"": 2026, ""num"": 51}, {""year"": 2025, ""num"": 72}, {""year"": 2025, ""num"": 70}, {""year"": 2025, ""num"": 65}, {""year"": 2025, ""num"": 62}, {""year"": 2025, ""num"": 59}, {""year"": 2025, ""num"": 58}, {""year"": 2025, ""num"": 57}, {""year"": 2024, ""num"": 70}, {""year"": 2024, ""num"": 68}, {""year"": 2024, ""num"": 65}, {""year"": 2024, ""num"": 63}, {""year"": 2024, ""num"": 61}, {""year"": 2024, ""num"": 60}, {""year"": 2024, ""num"": 55}, {""year"": 2023, ""num"": 70}, {""year"": 2023, ""num"": 66}, {""year"": 2023, ""num"": 65}, {""year"": 2023, ""num"": 63}, {""year"": 2023, ""num"": 62}, {""year"": 2023, ""num"": 60}, {""year"": 2023, ""num"": 57}, {""year"": 2022, ""num"": 66}, {""year"": 2022, ""num"": 64}, {""year"": 2022, ""num"": 61}, {""year"": 2022, ""num"": 60}, {""year"": 2022, ""num"": 58}, {""year"": 2022, ""num"": 57}, {""year"": 2021, ""num"": 67}, {""year"": 2021, ""num"": 65}, {""year"": 2021, ""num"": 64}, {""year"": 2021, ""num"": 63}, {""year"": 2021, ""num"": 60}, {""year"": 2021, ""num"": 55}, {""year"": 2021, ""num"": 54}, {""year"": 2020, ""num"": 71}, {""year"": 2020, ""num"": 63}, {""year"": 2020, ""num"": 62}, {""year"": 2020, ""num"": 59}, {""year"": 2020, ""num"": 57}, {""year"": 2020, ""num"": 55}, {""year"": 2019, ""num"": 75}, {""year"": 2019, ""num"": 74}, {""year"": 2019, ""num"": 68}, {""year"": 2019, ""num"": 57}, {""year"": 2019, ""num"": 55}, {""year"": 2019, ""num"": 51}, {""year"": 2018, ""num"": 73}, {""year"": 2018, ""num"": 69}, {""year"": 2018, ""num"": 68}, {""year"": 2018, ""num"": 67}, {""year"": 2018, ""num"": 66}, {""year"": 2018, ""num"": 65}, {""year"": 2018, ""num"": 64}, {""year"": 2018, ""num"": 63}, {""year"": 2018, ""num"": 62}, {""year"": 2017, ""num"": 69}, {""year"": 2017, ""num"": 68}, {""year"": 2017, ""num"": 64}, {""year"": 2017, ""num"": 63}, {""year"": 2017, ""num"": 62}, {""year"": 2017, ""num"": 60}, {""year"": 2017, ""num"": 59}, {""year"": 2017, ""num"": 58}, {""year"": 2017, ""num"": 57}, {""year"": 2017, ""num"": 56}, {""year"": 2017, ""num"": 55}, {""year"": 2017, ""num"": 54}, {""year"": 2016, ""num"": 71}, {""year"": 2016, ""num"": 69}, {""year"": 2016, ""num"": 63}, {""year"": 2016, ""num"": 62}, {""year"": 2016, ""num"": 61}, {""year"": 2016, ""num"": 60}, {""year"": 2016, ""num"": 59}, {""year"": 2016, ""num"": 58}, {""year"": 2015, ""num"": 73}, {""year"": 2015, ""num"": 69}, {""year"": 2015, ""num"": 68}, {""year"": 2015, ""num"": 66}, {""year"": 2015, ""num"": 65}, {""year"": 2015, ""num"": 59}, {""year"": 2015, ""num"": 58}]"
2,DB,frequent,관계대수 및 순수 관계 연산자,DB언어,44,릴레이션을 처리하는 절차적 정형 대수 언어 및 집합 연산,"순수 관계 연산자(Select: 시그마, Project: 파이, Join: 리본, Division: 나누기)의 수학적 기호 표현 및 SQL 질의문과의 상호 변환 동작을 깊이 있게 다룹니다.",DB언어 -> 관계 대수 및 관계 해석,"66. 다음은 관계 데이터베이스의 조인 수행 원리에 대한 
설명이다. <보기> 중 옳은 것을 모두 고른 것은?
<보기>
가. Sort-Merge Join은 선행 테이블(driving table)의 
조건을 만족하는 행별로 후행 테이블을 반복 탐색
하며, 후행 테이블의 조인 컬럼에 인덱스가 구성
되어 있지 않을 경우 Table Full Scan이 반복 발생
하여 성능이 저하된다.
나. Nested Loop Join은 조인 컬럼에 적절한 인덱스가 
없거나 조인 조건이 부등호(>, <)인 경우에도 사용
할 수 있으며, 양쪽 테이블이 조인 컬럼 순으로 
이미 정렬되어 있다면 정렬 단계를 생략할 수 
있다.
다. Hash Join은 동등 조인(equi-join)에만 사용 가능
하며, 대량의 데이터를 처리할 때 일반적으로 
Nested Loop Join이나 Sort-Merge Join보다 효율
적이다.
라. Hash Join은 조인을 위해 해쉬테이블을 메모리에 
생성하여야 하며, 생성된 해쉬테이블의 크기가 
메모리에 적재할 수 있는 크기보다 더 커지면 
임시영역(디스크)에 해쉬테이블의 일부를 저장한다.
  ① (가), (나)
② (다), (라)
  ③ (가), (다)
④ (나), (다), (라)
- 15 -",2026,66,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 66}, {""year"": 2026, ""num"": 64}, {""year"": 2026, ""num"": 63}, {""year"": 2026, ""num"": 53}, {""year"": 2025, ""num"": 61}, {""year"": 2025, ""num"": 60}, {""year"": 2025, ""num"": 58}, {""year"": 2025, ""num"": 53}, {""year"": 2025, ""num"": 52}, {""year"": 2024, ""num"": 67}, {""year"": 2024, ""num"": 53}, {""year"": 2024, ""num"": 52}, {""year"": 2023, ""num"": 59}, {""year"": 2022, ""num"": 59}, {""year"": 2021, ""num"": 63}, {""year"": 2021, ""num"": 61}, {""year"": 2021, ""num"": 59}, {""year"": 2021, ""num"": 56}, {""year"": 2020, ""num"": 61}, {""year"": 2020, ""num"": 60}, {""year"": 2020, ""num"": 56}, {""year"": 2020, ""num"": 52}, {""year"": 2020, ""num"": 51}, {""year"": 2019, ""num"": 58}, {""year"": 2019, ""num"": 53}, {""year"": 2018, ""num"": 73}, {""year"": 2018, ""num"": 70}, {""year"": 2018, ""num"": 66}, {""year"": 2018, ""num"": 59}, {""year"": 2018, ""num"": 56}, {""year"": 2018, ""num"": 53}, {""year"": 2018, ""num"": 52}, {""year"": 2017, ""num"": 73}, {""year"": 2017, ""num"": 72}, {""year"": 2017, ""num"": 68}, {""year"": 2017, ""num"": 66}, {""year"": 2017, ""num"": 61}, {""year"": 2017, ""num"": 55}, {""year"": 2016, ""num"": 68}, {""year"": 2016, ""num"": 59}, {""year"": 2016, ""num"": 57}, {""year"": 2016, ""num"": 56}, {""year"": 2015, ""num"": 74}, {""year"": 2015, ""num"": 70}]"
3,DB,frequent,트랜잭션 ACID 특성 및 상태 전이,DBMS 기술,42,데이터베이스 논리적 연산 단위인 트랜잭션의 4대 필수 성질 보장,"원자성(Atomicity), 일관성(Consistency), 격리성(Isolation - 특히 격리 레벨별 Read phenomena), 영속성(Durability)의 정의와 위배 예시를 평가합니다.",DBMS 기술 -> 트랜잭션 정의,"73. CAP 정리는 모든 분산 데이터 저장소가 네트워크 
분할 또는 장애발생시 일관성(Consistency), 가용성
(Availability), 분할 감내(Partition Tolerance) 등 세 개의 
특성 중 두 개만 동시에 보장할 수 있다는 것이다. 
네트워크가 두 개의 파티션으로 분할된 후 각 파티션에 
한 개씩의 노드가 있다고 가정할 때, 다음 설명에 
들어가는 ㉠, ㉡의 내용으로 옳은 것은?
- ㉠을 보장하려면 네트워크가 분할된 후에도 시스
템이 예상대로 계속 작동해야 하므로 각 파티션에 
속한 두 노드는 서로 다른 값을 읽을 수 있게 된
다. 
- ㉡을 보장하려면 두 개의 파티션 중에서 한 파티
션은 사용할 수 없는 것처럼 작동해야 한다.
㉠
㉡
① 
가용성 + 분할감내
일관성 + 분할감내
②
가용성 + 분할감내
일관성 + 가용성
③
일관성 + 가용성
일관성 + 분할감내
④
일관성 + 가용성
가용성 + 분할감내",2026,73,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 73}, {""year"": 2026, ""num"": 68}, {""year"": 2026, ""num"": 62}, {""year"": 2025, ""num"": 73}, {""year"": 2025, ""num"": 70}, {""year"": 2024, ""num"": 74}, {""year"": 2024, ""num"": 54}, {""year"": 2023, ""num"": 74}, {""year"": 2023, ""num"": 72}, {""year"": 2023, ""num"": 71}, {""year"": 2023, ""num"": 68}, {""year"": 2023, ""num"": 66}, {""year"": 2023, ""num"": 64}, {""year"": 2022, ""num"": 75}, {""year"": 2022, ""num"": 66}, {""year"": 2022, ""num"": 63}, {""year"": 2021, ""num"": 71}, {""year"": 2021, ""num"": 70}, {""year"": 2021, ""num"": 64}, {""year"": 2021, ""num"": 62}, {""year"": 2020, ""num"": 64}, {""year"": 2020, ""num"": 59}, {""year"": 2020, ""num"": 53}, {""year"": 2019, ""num"": 74}, {""year"": 2019, ""num"": 69}, {""year"": 2019, ""num"": 62}, {""year"": 2019, ""num"": 55}, {""year"": 2018, ""num"": 71}, {""year"": 2018, ""num"": 68}, {""year"": 2018, ""num"": 67}, {""year"": 2017, ""num"": 70}, {""year"": 2017, ""num"": 64}, {""year"": 2017, ""num"": 63}, {""year"": 2016, ""num"": 71}, {""year"": 2016, ""num"": 69}, {""year"": 2016, ""num"": 55}, {""year"": 2016, ""num"": 52}, {""year"": 2015, ""num"": 72}, {""year"": 2015, ""num"": 66}, {""year"": 2015, ""num"": 59}, {""year"": 2015, ""num"": 55}, {""year"": 2015, ""num"": 53}]"
4,DB,frequent,인덱스 및 B-Tree 구조 특징,DB개념 및 설계,22,검색 성과를 극대화하기 위해 물리 디스크 블록 검색 빈도를 최적화하는 색인 설계,"B-Tree와 B+Tree(리프 노드 간 연결 리스트 제공)의 구조적 탐색 효율 차이, 클러스터드/넌클러스터드 인덱스 생성 시 테이블 물리 정렬 상태 차이를 질문합니다.",DB개념 및 설계 -> 물리적 설계 -> 색인,"74. 다음은 MapReduce 방식으로 어떤 기능을 구현하는 
방법을 설명한 것이다. 이 설명에 해당하는 기능은?
- Map 함수는 각 문서를 파싱하여 (단어, 문서번
호) 쌍의 시퀀스를 출력한다. 
- Reduce 함수는 주어진 단어에 대한 모든 쌍을 
받아들여 문서번호에 의해 정렬하고 (단어, 리스
트(문서번호)) 쌍을 출력한다.
  ① 분산 grep (distributed grep) 
  ② 웹-링크 그래프 (Web-Link graph) 
  ③ 단어 빈도수 (word count) 
  ④ 역 인덱스 (inverted index)",2026,74,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 74}, {""year"": 2026, ""num"": 66}, {""year"": 2026, ""num"": 65}, {""year"": 2025, ""num"": 74}, {""year"": 2025, ""num"": 64}, {""year"": 2024, ""num"": 59}, {""year"": 2024, ""num"": 53}, {""year"": 2023, ""num"": 73}, {""year"": 2021, ""num"": 66}, {""year"": 2020, ""num"": 72}, {""year"": 2020, ""num"": 71}, {""year"": 2019, ""num"": 75}, {""year"": 2019, ""num"": 67}, {""year"": 2019, ""num"": 59}, {""year"": 2018, ""num"": 73}, {""year"": 2018, ""num"": 72}, {""year"": 2017, ""num"": 72}, {""year"": 2017, ""num"": 68}, {""year"": 2017, ""num"": 62}, {""year"": 2017, ""num"": 61}, {""year"": 2016, ""num"": 62}, {""year"": 2015, ""num"": 54}]"
5,DB,frequent,"DB 정규화 단계 및 정규형 특징 (1NF~5NF, BCNF)",DB개념 및 설계,20,릴레이션 스키마 분해를 통해 중복을 제거하고 이상 현상을 방지하는 정밀 설계 기법,"제3정규형(이행적 함수 종속 제거)에서 BCNF(모든 결정자가 후보키), 제4정규형(다치종속), 제5정규형(조인종속)으로 가는 단계적 결정 조건을 구별하는 문제가 매년 고정 출제됩니다.",DB개념 및 설계 -> 논리적 설계 -> 정규화,"63. 다음은 반(역)정규화 적용 유형에 대한 설명이다.  
옳은 것을 모두 고른 것은?
가. 특정 컬럼의 크기가 너무 커서 디스크 I/O가 과다
하게 발생하는 경우, 해당 컬럼을 별도의 테이블
로 분리하는 것을 수평 분할이라 한다.
나. 테이블 병합은 조인 비용을 줄이기 위해 여러 테이
블을 하나의 테이블로 통합하는 반정규화 방법이다.
다. 부분 테이블 분할은 데이터 접근 빈도에 따라 테이블을 
여러 개로 나누어 성능을 개선하는 정규화 기법이다.
라. 접근 경로의 단축을 위해 부모 테이블의 컬럼을 
자식 테이블에 중복시킬 수 있다.
  ① 가, 나
② 나, 라
  ③ 가, 나, 다
④ 나, 다, 라",2026,63,,"[2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 63}, {""year"": 2026, ""num"": 56}, {""year"": 2025, ""num"": 54}, {""year"": 2024, ""num"": 58}, {""year"": 2024, ""num"": 57}, {""year"": 2023, ""num"": 61}, {""year"": 2023, ""num"": 58}, {""year"": 2022, ""num"": 55}, {""year"": 2021, ""num"": 74}, {""year"": 2020, ""num"": 65}, {""year"": 2020, ""num"": 58}, {""year"": 2019, ""num"": 66}, {""year"": 2019, ""num"": 52}, {""year"": 2018, ""num"": 56}, {""year"": 2018, ""num"": 51}, {""year"": 2016, ""num"": 67}, {""year"": 2016, ""num"": 66}, {""year"": 2015, ""num"": 75}, {""year"": 2015, ""num"": 71}, {""year"": 2015, ""num"": 51}]"
6,DB,frequent,ER 데이터 모델링 및 식별/비식별 관계,DB개념 및 설계,15,"개념적 설계 단계의 엔티티, 속성, 관계 표현법 및 물리 스키마 맵핑 규칙",식별 관계(부모 키를 자식의 주식별자로 상속)와 비식별 관계(일반 속성으로 상속)의 점선/실선 기호 해석 및 다대다 관계 해소를 위한 교차 테이블 설계를 묻습니다.,DB개념 및 설계 -> 개념적 설계 -> ERD,"54. 다음 EER 다이어그램에 대한 설명으로 옳은 것은? 
(단, 이중선은 전체 참여 제약, 원의 문자 d는 분리 
제약을 표현한다.)
  ① 직원은 서브클래스 개체이다. 
  ② 월급직원이나 시급직원에 속하지 않는 직원도 
존재한다. 
  ③ 월급직원도 노조에 소속할 수 있다. 
  ④ 월급직원이면서 동시에 시급직원일 수는 없다.",2026,54,,"[2015, 2016, 2017, 2018, 2019, 2020, 2022, 2023, 2024, 2026]","[{""year"": 2026, ""num"": 54}, {""year"": 2024, ""num"": 56}, {""year"": 2023, ""num"": 56}, {""year"": 2023, ""num"": 55}, {""year"": 2022, ""num"": 60}, {""year"": 2022, ""num"": 53}, {""year"": 2020, ""num"": 73}, {""year"": 2019, ""num"": 63}, {""year"": 2018, ""num"": 57}, {""year"": 2018, ""num"": 53}, {""year"": 2017, ""num"": 52}, {""year"": 2016, ""num"": 75}, {""year"": 2016, ""num"": 74}, {""year"": 2015, ""num"": 71}, {""year"": 2015, ""num"": 52}]"
7,DB,frequent,동시성 제어 및 2단계 잠금 규약 (2PL),DBMS 기술,13,다중 사용자 환경에서 트랜잭션들이 동시에 실행될 때 직렬 가능성을 보장하는 잠금 메커니즘,"2단계 잠금 규약(2PL)의 직렬화 가능성 보장 여부 및 교착상태(Deadlock) 발생 한계점, 낙관적 검증 기법, 다중 버전 동시성 제어(MVCC)의 특징을 비교합니다.",DBMS 기술 -> 동시성 제어,"69. 다음 그림은 2단계 로킹 프로토콜의 확장과 수축 
단계를 표시한 그림이다. 로크포인트(lock point)는 
ⓐ ~ ⓓ 중 어느 시점인가?
  ① ⓐ
② ⓑ
  ③ ⓒ
④ ⓓ",2026,69,,"[2015, 2016, 2018, 2019, 2021, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 69}, {""year"": 2025, ""num"": 66}, {""year"": 2024, ""num"": 54}, {""year"": 2023, ""num"": 68}, {""year"": 2023, ""num"": 67}, {""year"": 2023, ""num"": 66}, {""year"": 2021, ""num"": 64}, {""year"": 2019, ""num"": 71}, {""year"": 2019, ""num"": 69}, {""year"": 2019, ""num"": 62}, {""year"": 2018, ""num"": 75}, {""year"": 2016, ""num"": 54}, {""year"": 2015, ""num"": 59}]"
8,DB,frequent,NoSQL 데이터베이스 분류 및 CAP 이론,빅데이터 및 AI데이터,12,비관계형 대용량 데이터를 처리하기 위한 스키마리스 DBMS 아키텍처 표준,"일관성(C), 가용성(A), 분할 용인성(P) 중 2가지만 충족 가능한 CAP 이론의 한계와 CA, CP, AP 계열 NoSQL 제품군(MongoDB, Cassandra 등) 맵핑을 다룹니다.",빅데이터 및 AI데이터 -> NoSQL,"73. CAP 정리는 모든 분산 데이터 저장소가 네트워크 
분할 또는 장애발생시 일관성(Consistency), 가용성
(Availability), 분할 감내(Partition Tolerance) 등 세 개의 
특성 중 두 개만 동시에 보장할 수 있다는 것이다. 
네트워크가 두 개의 파티션으로 분할된 후 각 파티션에 
한 개씩의 노드가 있다고 가정할 때, 다음 설명에 
들어가는 ㉠, ㉡의 내용으로 옳은 것은?
- ㉠을 보장하려면 네트워크가 분할된 후에도 시스
템이 예상대로 계속 작동해야 하므로 각 파티션에 
속한 두 노드는 서로 다른 값을 읽을 수 있게 된
다. 
- ㉡을 보장하려면 두 개의 파티션 중에서 한 파티
션은 사용할 수 없는 것처럼 작동해야 한다.
㉠
㉡
① 
가용성 + 분할감내
일관성 + 분할감내
②
가용성 + 분할감내
일관성 + 가용성
③
일관성 + 가용성
일관성 + 분할감내
④
일관성 + 가용성
가용성 + 분할감내",2026,73,,"[2015, 2017, 2020, 2021, 2022, 2023, 2024, 2025, 2026]","[{""year"": 2026, ""num"": 73}, {""year"": 2025, ""num"": 75}, {""year"": 2025, ""num"": 73}, {""year"": 2024, ""num"": 51}, {""year"": 2023, ""num"": 74}, {""year"": 2023, ""num"": 72}, {""year"": 2022, ""num"": 72}, {""year"": 2021, ""num"": 62}, {""year"": 2020, ""num"": 67}, {""year"": 2020, ""num"": 64}, {""year"": 2017, ""num"": 72}, {""year"": 2015, ""num"": 64}]"
9,DB,frequent,DBMS 회복 기법 (REDO / UNDO),DBMS 기술,8,트랜잭션 장애 발생 시 데이터베이스를 일관된 이전 상태로 복구하는 기술,"로그 기반 즉시 갱신(REDO/UNDO 모두 수행)과 지연 갱신(REDO만 수행)의 차이, 그리고 검사점(Checkpoint) 기법 적용 시점 기준 복구 로그 분석 연산이 출제됩니다.",DBMS 기술 -> 트랜잭션 회복,"74. WAL(Write-Ahead Logging) 기법은 두 가지 로그 
엔트리를 사용한다. 먼저 항목의 AFIM(After 
Image)을 기록하는데 이는 트랜잭션의 (가)에 대
비하기 위함이며, 항목의 BFIM(Before Image)을 
기록하는데 이는 트랜잭션의 (나)에 대비하기 위
함이다. 이때, (가)와 (나)에 들어갈 용어로 가장 
올바른 것은?
  ① (가) VOLATILE
(나) PERSISTENT
  ② (가) PERSISTENT
(나) VOLATILE
  ③ (가) REDO
(나) UNDO
  ④ (가) UNDO
(나) REDO",2024,74,,"[2015, 2017, 2019, 2020, 2021, 2022, 2024]","[{""year"": 2024, ""num"": 74}, {""year"": 2022, ""num"": 66}, {""year"": 2022, ""num"": 63}, {""year"": 2021, ""num"": 71}, {""year"": 2020, ""num"": 53}, {""year"": 2019, ""num"": 74}, {""year"": 2017, ""num"": 63}, {""year"": 2015, ""num"": 72}]"
10,DB,frequent,분산 데이터베이스 투명성 요건,DB응용,4,물리적으로 분산된 여러 DB 노드를 단일 시스템처럼 투명하게 다루는 아키텍처,"4대 투명성인 위치(Location), 중복(Replication), 단편화(Fragmentation), 장애(Failure) 투명성의 정의를 명확히 구분하는 문제가 빈출됩니다.",DB응용 -> 분산 데이터베이스,"71. 분산 데이터베이스 시스템에서 분산 투명성에 대
한 설명으로 적절하지 않은 것은?
  ① 데이터의 실제 저장 위치를 알 필요 없이 데이
터베이스의 논리적 이름만으로 데이터에 접근할 
수 있는 위치 투명성(location transparency)을 
보장해야 한다. 
  ② 분산 데이터베이스와 관련된 트랜잭션들이 동시
에 수행되더라도 항상 일관성을 유지하는 장애 
투명성(failure transparency)을 보장해야 한다. 
  ③ 동일한 데이터가 여러 지역에 중복해서 저장되
는 경우 사용자가 중복을 인식하지 못하게 하는 
중복 투명성(replication transparency)을 보장
해야 한다. 
  ④ 하나의 릴레이션을 더 작은 조각(단편)으로 나누
고 각 조각을 별개의 릴레이션으로 처리할 때 완
전성, 회복성, 분리성을 보장하는 단편화 투명성
(fragmentation transparency)을 보장해야 한다.",2023,71,,"[2017, 2020, 2022, 2023]","[{""year"": 2023, ""num"": 71}, {""year"": 2022, ""num"": 75}, {""year"": 2020, ""num"": 75}, {""year"": 2017, ""num"": 73}]"
