id,year,subject,question_num,question,options,answer,explanation,is_new_trend,similar_past_questions
2015_1,2015,PM,1,"1. ‘학습을 위한 수평적 조직설계’와 ‘효율성을 
위한 수직적 조직설계’ 중 ‘학습을 위한 수평적 
조직설계’의 특징으로 가장 적절한 것은?","[""전문화된 과업"", ""집권화된 의사결정"", ""많은 수의 팀과 태스크포스"", ""엄격한 계층""]",[3],,1,[]
2015_10,2015,PM,10,"10. 과거 자료가 없거나 활동 소요시간을 산출하기 
어려운 신제품 개발과 같은 프로젝트의 활동 
소요시간 산정 시 3점 산정법(three-point 
estimation)방식을 활용한다. 3점 산정법을 활용
하여 프로젝트 활동 소요시간 예측 시 고려되지 
않는 것은?","[""낙관시간: 관련 활동을 좋은 조건에서 수행할 \n경우 소요되는 예상 시간치"", ""최소시간: 관련활동에 모든 자원을 최대로 투입\n할 경우 소요되는 예상 시간치"", ""비관시간: 관련활동을 나쁜 환경에서 수행할 \n경우 소요되는 예상 시간치"", ""최빈시간: 관련활동의 소요시간에 가장 근접\n하다고 판단되는 예상 시간치""]",[2],,1,[]
2015_100,2015,SA,100,"100. 그림과 같이 모바일 호스트(mobile host)가 홈 
네트워크(home network)에서 외부 네트워크(for-
eign network)로 이동한 상황에서 모바일 IP에 
대한 설명으로 가장 거리가 먼 것은?","[""이동한 모바일 호스트는 홈 주소(home address)와 \n의탁주소(care-of address)라는 두 개의 주소를 \n가진다."", ""이동한 모바일 호스트는 외부 에이전트(Foreign \nagent)에게 의탁주소(care-of address)를 받기 \n위해 ICMP의 router solicitation 메시지를 \n이용한다."", ""이동한 모바일 호스트가 외부 에이전트(foreign \nagent)에 등록하기 위해서 TCP 포트를 이용하여 \n등록 요청(registration request)을 보낸다."", ""이동한 모바일 호스트가 원격지 호스트(remote \nhost)와 패킷을 주고받을 때 더블 크로싱(double \ncrossing)이 발생할 수 있다.\n- 23 -\n보  안""]",[3],,1,[]
2015_101,2015,SC,101,"101. 개인정보보호법상 암호화하여야 하는 개인정보 
대상이 아닌 것은?","[""비밀번호"", ""고유식별번호"", ""바이오정보"", ""신용카드정보""]",[4],,1,[]
2015_102,2015,SC,102,"102. S/MIME(Secure/Multipurpose Internet Mail Ext-
ension)에 대한 설명 중 틀린 것은?","[""네트워크계층에서의 보안을 제공한다."", ""평문메시지에 공개키 암호방식을 적용하여 보안성을 \n제공한다."", ""이진값으로 암호화된 본문이나 서명 부분은 모두 \nMIME으로 변환되어 전송한다."", ""세션키를 분배하기 위하여 Diffie-Hellman 방식과 \nRSA 공개키 방식을 사용한다.""]",[1],,1,[]
2015_103,2015,SC,103,"103. SSL(Secure Socket Layer)에 관한 설명 중 틀린 
것은?","[""SSL 레코드 프로토콜은 기밀성과 메시지 무결성, \n부인 방지 서비스를 제공한다."", ""SSL 레코드 프로토콜은 단편화, 압축, 메시지 \n인증 코드 계산, 암호화의 순서로 수행된다."", ""SSL은 TCP를 이용하여 신뢰할 수 있는 종단-대-\n종단 보안 서비스를 제공하기 위해 설계되었다."", ""경고(Alert) 프로토콜은 SSL 관련 경고를 전달\n하기 위해 사용된다.""]",[1],,1,[]
2015_104,2015,SC,104,"104. 국내 정보보호관리체계(ISMS) 인증기준 중 정보
보호 대책에 해당되지 않는 것은?","[""정보보호 조직"", ""정보보호 교육"", ""침해사고 관리"", ""법적 요구사항 준수 검토""]",[4],,1,[]
2015_105,2015,SC,105,"105. 정보보호관리체계에 대한 설명 중 가장 거리가 
먼 것은?","[""취약성은 자산의 잠재적 속성으로서 위협의 이용 \n대상으로 정의된다."", ""관리체계 인증기준과 기업 내 현재의 보호대책 \n적용 현황과의 수준 차이를 파악하기 위해 위협\n분석을 수행한다."", ""정보보호관리체계 구축을 위한 수행조직은 프로\n젝트팀으로 구성될 수 있으며 우선적으로 관리\n체계 도입 배경과 경영진을 이해시키고 설득할 \n수 있는 자료 등을 준비한다."", ""정보보호대책이란 위험에 대응하여 자산을 보호하기 \n위한 관리적, 물리적, 기술적 대책으로 정의된다.""]",[2],,1,[]
2015_106,2015,SC,106,"106. 개인정보처리자가 개인정보의 수집 시 정보주체의 
동의를 받지 않아도 되는 경우로 가장 적절한 
것은?","[""개인정보취급 방침에 명시한 경우"", ""경제적, 기술적인 사유로 통상적인 동의를 받는 \n것이 뚜렷하게 곤란한 경우"", ""법률에 특별한 규정이 있거나 법령상 의무를 \n준수하기 위하여 불가피한 경우"", ""요금 부과를 위해 필요한 경우""]",[3],,1,[]
2015_107,2015,SC,107,"107. 해시 함수(hash function)의 특성에 대한 설명
으로 틀린 것은?","[""임의의 크기를 갖는 메시지에 고정된 길이의 해시 \n값을 생성한다."", ""해시 값을 계산하기 쉽다."", ""해시 값에 대한 해시 함수의 입력 메시지를 찾는 \n것이 불가능하다는 것은 해시 함수의 충돌방지 \n특성이다."", ""해시 알고리즘으로 MD5, SHA-1, SHA-2가 있다.\n- 24 -""]",[3],,1,[]
